emoji,text
🇭🇲,علم جزر هيرد ماكدونالد
🇭🇳,علم هندوراس
🇭🇷,علم كرواتيا
🇭🇹,علم هايتي
🇭🇺,علم المجر
🇮🇨,علم جزر الكناري
🇮🇩,علم اندونيسيا
🇮🇪,علم ايرلندا
🇮🇱,علم اسرائيل
🇮🇲,علم جزيرة مان
🇮🇳,علم الهند
🇮🇴,علم إقليم المحيط الهندي البريطاني
🇮🇶,علم العراق
🇮🇷,علم إيران
🇮🇸,علم ايسلندا
🇮🇹,علم ايطاليا
🇯🇪,علم جيرسي
🇯🇲,علم جامايكا
🇯🇴,علم الاردن
🇯🇵,علم اليابان
🇰🇪,علم كينيا
🇰🇬,علم قيرغيزستان
🇰🇭,علم كمبوديا
🇰🇮,علم كيريباتي
🇰🇲,علم جزر القمر
🇰🇳,علم سانت كيتس نيفيس
🇰🇵,علم كوريا الشمالية
🇰🇷,علم كوريا الجنوبية
🇰🇼,علم الكويت
🇰🇾,علم جزر كايمان
🇰🇿,علم كازاخستان
🇱🇦,علم لاوس
🇱🇧,علم لبنان
🇱🇨,علم سانت لوسيا
🇱🇮,علم ليختنشتاين
🇱🇰,علم سري لانكا
🇱🇷,علم ليبيريا
🇱🇸,علم ليسوتو
🇱🇹,علم ليتوانيا
🇱🇺,علم لوكسمبورغ
🇱🇻,علم لاتفيا
🇱🇾,علم ليبيا
🇲🇦,علم المغرب
🇲🇨,علم موناكو
🇲🇩,علم مولدوفا
🇲🇪,علم الجبل الأسود
🇲🇫,علم سانت مارتن
🇲🇬,علم مدغشقر
🇲🇭,علم جزر مارشال
🇲🇰,علم مقدونيا
🇲🇱,علم مالي
🇲🇲,علم ميانمار بورما
🇲🇳,علم منغوليا
🇲🇴,علم منطقة ماكاو الإدارية الخاصة الصين
🇲🇵,علم جزر ماريانا الشمالية
🇲🇶,علم مارتينيك
🇲🇷,علم موريتانيا
🇲🇸,علم مونتسيرات
🇲🇹,علم مالطا
🇲🇺,علم موريشيوس
🇲🇻,علم جزر المالديف
🇲🇼,علم ملاوي
🇲🇽,علم المكسيك
🇲🇾,علم ماليزيا
🇲🇿,علم موزمبيق
🇳🇦,علم ناميبيا
🇳🇨,علم كاليدونيا الجديدة
🇳🇪,علم النيجر
🇳🇫,علم جزيرة نورفولك
🇳🇬,علم نيجيريا
🇳🇮,علم نيكاراغوا
🇳🇱,علم هولندا
🇳🇴,علم النرويج
🇳🇵,علم نيبال
🇳🇷,علم ناورو
🇳🇺,علم نيوي
🇳🇿,علم نيوزيلندا
🇴🇲,علم عمان
🇵🇦,علم بنما
🇵🇪,علم بيرو
🇵🇫,علم بولينيزيا الفرنسية
🇵🇬,علم بابوا غينيا الجديدة
🇵🇭,علم الفلبين
🇵🇰,علم باكستان
🇵🇱,علم بولندا
🇵🇲,علم القديس بيير ميكلون
🇵🇳,علم جزر بيتكيرن
🇵🇷,علم بورتوريكو
🇵🇸,علم فلسطين
🇵🇹,علم البرتغال
🇵🇼,علم بالاو
🇵🇾,علم باراغواي
🇶🇦,علم قطر
🇷🇪,علم رونيون
🇷🇴,علم رومانيا
🇷🇸,علم صربيا
🇷🇺,علم روسيا
🇷🇼,علم رواندا
🇸🇦,علم المملكة العربية السعودية
🇸🇧,علم جزر سليمان
🇸🇨,علم سيشيل
🇸🇩,علم السودان
🇸🇪,علم السويد
🇸🇬,علم سنغافورة
🇸🇭,علم سانت هيلينا
🇸🇮,علم سلوفينيا
🇸🇯,علم سفالبارد جان ماين
🇸🇰,علم سلوفاكيا
🇸🇱,علم سيراليون
🇸🇲,علم سان مارينو
🇸🇳,علم السنغال
🇸🇴,علم الصومال
🇸🇷,علم سورينام
🇸🇸,علم جنوب السودان
🇸🇹,علم So Tom Prncipe
🇸🇻,علم السلفادور
🇸🇽,علم سينت مارتن
🇸🇾,علم سوريا
🇸🇿,علم إيسواتيني
🇹🇦,علم تريستان دا كونها
🇹🇨,علم جزر تركس كايكوس
🇹🇩,علم تشاد
🇹🇫,علم الأقاليم الجنوبية الفرنسية
🇹🇬,علم توغو
🇹🇭,علم تايلاند
🇹🇯,علم طاجيكستان
🇹🇰,علم توكيلاو
🇹🇱,علم تيمور ليشتي
🇹🇲,علم تركمانستان
🇹🇳,علم تونس
🇹🇴,علم تونغا
🇹🇷,علم تركيا
🇹🇹,علم ترينيداد توباغو
🇹🇻,علم توفالو
🇹🇼,علم تايوان
🇹🇿,علم تنزانيا
🇺🇦,علم أوكرانيا
🇺🇬,علم أوغندا
🇺🇲,علم جزر الولايات المتحدة النائية
🇺🇳,علم الأمم المتحدة
🇺🇸,علم الولايات المتحدة
🇺🇾,علم أوروغواي
🇺🇿,علم أوزبكستان
🇻🇦,علم مدينة الفاتيكان
🇻🇨,علم سانت فنسنت غرينادين
🇻🇪,علم فنزويلا
🇻🇬,علم جزر فيرجن البريطانية
🇻🇮,علم جزر فيرجن الأمريكية
🇻🇳,علم فيتنام
🇻🇺,علم فانواتو
🇼🇫,علم واليس فوتونا
🇼🇸,علم ساموا
🇽🇰,علم كوسوفو
🇾🇪,علم اليمن
🇾🇹,علم مايوت
🇿🇦,علم جنوب افريقيا
🇿🇲,علم زامبيا
🇿🇼,علم زيمبابوي
🏴󠁧󠁢󠁥󠁮󠁧󠁿,علم إنجلترا
🏴󠁧󠁢󠁳󠁣󠁴󠁿,علم اسكتلندا
🏴󠁧󠁢󠁷󠁬󠁳󠁿,علم ويلز
🍇,العنب
🍈,شمام
🍉,بطيخ
🍊,يوسفي
🍋,ليمون
🍌,موز
🍍,أناناس
🥭,مانجو
🍎,تفاحة حمراء
🍏,تفاحة خضراء
🍐,كُمَّثرَى
🍑,خَوخ
🍒,الكرز
🍓,الفراولة
🫐,توت
🥝,فاكهة الكيوي
🍅,طماطم
🫒,زيتون
🥥,جوزة الهند
🥑,أفوكادو
🍆,الباذنجان
🥔,البطاطس
🥕,جزرة
🌽,قرن ذرة
🌶️,فلفل حار
🌶,فلفل حار
🫑,فلفل حلو
🥒,خيار
🥬,ورقة خضراء
🥦,بروكلي
🧄,ثوم
🧅,بصلة
🥜,الفول السوداني
🫘,فول
🌰,كستناء
🫚,جذر الزنجبيل
🫛,جراب البازلاء
🍞,خبز
🥐,كرواسون
🥖,خبز باجيت
🫓,الخبز المسطح
🥨,المملح
🥯,الخبز
🥞,الفطائر
🧇,وافل
🧀,الجبن إسفين
🍖,لحم على العظام
🍗,ساق الدواجن
🥩,قطع اللحم
🥓,لحم خنزير مقدد
🍔,همبرغر
🍟,بطاطس مقلية
🍕,بيتزا
🌭,نقانق
🥪,ساندويتش
🌮,تاكو
🌯,بوريتو
🫔,تامالي
🥙,محشي فلاتبريد
🧆,فلافل
🥚,بيضة
🍳,طبخ
🥘,مقلاة ضحلة من الطعام
🍲,وعاء من الطعام
🫕,مخفوق بالجبن
🥣,وعاء مع ملعقة
🥗,سلطة خضراء
🍿,الفشار
🧈,سمنة
🧂,ملح
🥫,طعام معلب
🍱,مربع بينتو
🍘,تكسير الأرز
🍙,كرة الأرز
🍚,ارز مطبوخ
🍛,أرز بالكاري
🍜,وعاء تبخير
🍝,معكرونة
🍠,بطاطا حلوة محمصة
🍢,أودين
🍣,سوشي
🍤,جمبري مقلي
🍥,كعكة السمك مع دوامة
🥮,كعكة القمر
🍡,دانغو
🥟,زلابية
🥠,كعكة الحظ
🥡,صندوق الوجبات الجاهزة
🦀,سلطعون
🦞,سرطان البحر
🦐,جمبري
🦑,حبار
🦪,محار
🍦,آيس كريم ناعم
🍧,الجليد حلق
🍨,بوظة
🍩,كعكة محلاة
🍪,بسكويت
🎂,كعكة عيد الميلاد
🍰,كعكة صغيرة
🧁,كاب كيك
🥧,فطيرة
🍫,قطعة شوكولاتة
🍬,حلويات
🍭,مصاصة
🍮,كاسترد
🍯,وعاء العسل
🍼,زجاجة الطفل
🥛,كوب من الحليب
☕,المشروبات الساخنة
🫖,ابريق الشاي
🍵,فنجان بدون مقبض
🍶,من أجل
🍾,زجاجة مع ظهرت الفلين
🍷,كأس نبيذ
🍸,كأس كوكتيل
🍹,مشروب استوائي
🍺,قدح البيرة
🍻,قشزعة أكواب البيرة
🥂,نظارات الخشخشة
🥃,بهلوان الزجاج
🫗,صب السائل
🥤,كوب مع القش
🧋,الشاي فقاعة
🧃,صندوق المشروبات
🧉,رَفِيق
🧊,جليد
🥢,عيدان
🍽️,شوكة وسكين مع صحن
🍽,شوكة وسكين مع صحن
🍴,شوكة وسكين
🥄,ملعقة
🔪,سكين المطبخ
🫙,إناء
🏺,أمفورا
👓,نظارات
🕶️,نظارة شمسيه
🕶,نظارة شمسيه
🥽,نظارات واقية
🥼,معطف المختبر
🦺,سترة السلامة
👔,ربطة عنق
👕,تي شيرت
👖,جينز
🧣,وشاح
🧤,قفازات
🧥,معطف
🧦,جوارب
👗,فستان
👘,كيمونو
🥻,ساري
🩱,ملابس السباحة من قطعة واحدة
🩲,ملخصات
🩳,السراويل القصيرة
👙,بيكيني
👚,ملابس نسائية
🪭,مروحة يدوية قابلة للطي
👛,حافِظَة
👜,حقيبة يد
👝,حقيبة مخلب
🛍️,أكياس التسوق
🛍,أكياس التسوق
🎒,حقيبة ظهر
🩴,صندل ثونغ
👞,حذاء مان
👟,حذاء الجري
🥾,حذاء تنزه
🥿,الأحذية المسطحة
👠,حذاء بكعب عال
👡,صندل نسائي
🩰,حذاء الباليه
👢,حذاء نسائي
🪮,اختيار الشعر
👑,تاج
👒,قبعة نسائية
🎩,قبعة عالية
🎓,قبعة التخرج
🧢,غطاء الفاتورة
🪖,خوذة عسكرية
⛑️,خوذة عمال الانقاذ
⛑,خوذة عمال الانقاذ
📿,مسبحة الصلاة
💄,أحمر الشفاه
💍,جرس
💎,حجر جوهرة
🔇,المتحدث الصامت
🔈,مكبر صوت منخفض
🔉,مكبر صوت متوسط ​​الحجم
🔊,مكبر صوت عالي
📢,مكبر الصوت
📣,مكبر الصوت
📯,بوق بريدي
🔔,جرس
🔕,الجرس بشرطة مائلة
🎼,النتيجة الموسيقية
🎵,نوتة موسيقية
🎶,النوتات الموسيقية
🎙️,ميكروفون الاستوديو
🎙,ميكروفون الاستوديو
🎚️,منزلق المستوى
🎚,منزلق المستوى
🎛️,مقابض التحكم
🎛,مقابض التحكم
🎤,ميكروفون
🎧,سماعة
📻,مذياع
🎷,ساكسفون
🪗,الأكورديون
🎸,غيتار
🎹,لوحة مفاتيح موسيقية
🎺,بوق
🎻,كمان
🪕,البانجو
🥁,طبل
🪘,طبل طويل
🪇,ماراكاس
🪈,الفلوت
📱,تليفون محمول
📲,الهاتف المحمول مع السهم
☎️,هاتف
☎,هاتف
📞,جهاز استقبال الهاتف
📟,بيجر
📠,جهاز فاكس
🔋,بطارية
🪫,البطارية ضعيفة
🔌,المكونات الكهربائية
💻,حاسوب محمول
🖥️,كمبيوتر سطح المكتب
🖥,كمبيوتر سطح المكتب
🖨️,طابعة
🖨,طابعة
⌨️,لوحة المفاتيح
⌨,لوحة المفاتيح
🖱️,فأرة الحاسوب
🖱,فأرة الحاسوب
🖲️,كرة التتبع
🖲,كرة التتبع
💽,قرص الكمبيوتر
💾,قرص مرن
💿,قرص بصري
📀,دي في دي
🧮,طبلية تاج
🎥,كاميرا الفيلم
🎞️,إطارات الفيلم
🎞,إطارات الفيلم
📽️,جهاز عرض فيلم
📽,جهاز عرض فيلم
🎬,كلابر المجلس
📺,التلفاز
📷,آلة تصوير
📸,كاميرا بفلاش
📹,كاميرا فيديو
📼,شريط فيديو
🔍,يميل العدسة المكبرة إلى اليسار
🔎,عدسة مكبرة مائلة لليمين
🕯️,شمعة
🕯,شمعة
💡,المصباح الكهربائي
🔦,مصباح يدوي
🏮,فانوس الورق الأحمر
🪔,مصباح ضياء
📔,دفتر مع غطاء زخرفي
📕,كتاب مغلق
📖,كتاب مفتوح
📗,كتاب أخضر
📘,كتاب أزرق
📙,كتاب برتقالي
📚,الكتب
📓,دفتر
📒,موازنة
📃,الصفحة مع حليقة
📜,التمرير
📄,الصفحة متجهة لأعلى
📰,جريدة
🗞️,صحيفة مطوية
🗞,صحيفة مطوية
📑,علامات التبويب المرجعية
🔖,المرجعية
🏷️,ملصق
🏷,ملصق
💰,حقيبة المال
🪙,عملة
💴,الأوراق النقدية الين
💵,الأوراق النقدية بالدولار
💶,الأوراق النقدية باليورو
💷,الأوراق النقدية الجنيه
💸,المال مع الأجنحة
💳,بطاقة إئتمان
🧾,إيصال
💹,الرسم البياني يتزايد مع الين
✉️,ظرف
✉,ظرف
📧,بريد إلكتروني
📨,مغلف وارد
📩,مغلف مع السهم
📤,علبة الصادر
📥,علبة الوارد
📦,طَرد
📫,صندوق بريد مغلق بعلم مرفوع
📪,صندوق بريد مغلق بعلم منخفض
📬,صندوق بريد مفتوح بعلم مرفوع
📭,صندوق بريد مفتوح بعلم منخفض
📮,صندوق بريد
🗳️,صندوق الاقتراع مع ورقة الاقتراع
🗳,صندوق الاقتراع مع ورقة الاقتراع
✏️,قلم
✏,قلم
✒️,المنقار الأسود
✒,المنقار الأسود
🖋️,قلم حبر
🖋,قلم حبر
🖊️,قلم
🖊,قلم
🖌️,فرشاة الرسم
🖌,فرشاة الرسم
🖍️,قلم تلوين
🖍,قلم تلوين
📝,مذكرة
💼,حقيبة
📁,مجلد ملف
📂,افتح مجلد الملف
🗂️,فواصل فهرسة البطاقة
🗂,فواصل فهرسة البطاقة
📅,تقويم
📆,التقويم المسيل للدموع
🗒️,المفكرة الحلزونية
🗒,المفكرة الحلزونية
🗓️,تقويم حلزوني
🗓,تقويم حلزوني
📇,فهرس البطاقة
📈,زيادة الرسم البياني
📉,الرسم البياني يتناقص
📊,شريط الرسم البياني
📋,الحافظة
📌,دبوس التثبيت
📍,جولة دبوس
📎,دبوس ورق
🖇️,مشابك ورقية مرتبطة
🖇,مشابك ورقية مرتبطة
📏,مسطرة مستقيمة
📐,مسطرة مثلثة
✂️,مقص
✂,مقص
🗃️,مربع ملف البطاقة
🗃,مربع ملف البطاقة
🗄️,حافظة الملفات
🗄,حافظة الملفات
🗑️,سلة النفايات
🗑,سلة النفايات
🔒,مقفل
🔓,مفتوحة
🔏,مؤمن بالقلم
🔐,مقفل بالمفتاح
🔑,مفتاح
🗝️,المفتاح القديم
🗝,المفتاح القديم
🔨,شاكوش
🪓,فأس
⛏️,يختار
⛏,يختار
⚒️,مطرقة واختيار
⚒,مطرقة واختيار
🛠️,مطرقة وجع
🛠,مطرقة وجع
🗡️,خنجر
🗡,خنجر
⚔️,عبر السيوف
⚔,عبر السيوف
💣,قنبلة
🪃,بوميرانج
🏹,القوس والسهم
🛡️,درع
🛡,درع
🪚,رأى النجارة
🔧,مفتاح الربط
🪛,مفك براغي
🔩,الجوز والترباس
⚙️,هيأ
⚙,هيأ
🗜️,المشبك
🗜,المشبك
⚖️,مقياس التوازن
⚖,مقياس التوازن
🦯,عصا بيضاء
🔗,وصلة
⛓️,السلاسل
⛓,السلاسل
🪝,خطاف
🧰,صندوق الأدوات
🧲,مغناطيس
🪜,سُلُّم
⚗️,الإنبيق
⚗,الإنبيق
🧪,أنبوب اختبار
🧫,طبق بتري
🧬,الحمض النووي
🔬,مجهر
🔭,تلسكوب
📡,هوائي القمر الصناعي
💉,حقنة
🩸,قطرة دم
💊,حبة
🩹,ضمادة لاصقة
🩼,عكاز
🩺,سماعة الطبيب
🩻,الأشعة السينية
🚪,باب
🛗,مصعد
🪞,مرآة
🪟,نافذة او شباك
🛏️,سرير
🛏,سرير
🛋️,أريكة ومصباح
🛋,أريكة ومصباح
🪑,كرسي
🚽,الحمام
🪠,الغطاس
🚿,دش
🛁,حوض الاستحمام
🪤,فخ الفأر
🪒,موس الحلاقة
🧴,زجاجة محلول
🧷,صمام الأمان
🧹,مكنسة
🧺,سلة
🧻,لفة من الورق
🪣,دلو
🧼,صابون
🫧,فقاعات
🪥,فرشاة الأسنان
🧽,الإسفنج
🧯,طفاية حريق
🛒,عربة التسوق
🚬,سيجارة
⚰️,نعش
⚰,نعش
🪦,شاهد القبر
⚱️,جرة الجنازة
⚱,جرة الجنازة
🧿,تميمة نزار
🪬,همسة
🗿,مواي
🪧,لافتة
🪪,بطاقة الهوية
👋,يد تلوح
👋🏻,تلويح يد بلون بشرة فاتحة
👋🏼,تلويح يد بلون بشرة متوسط ​​فاتح
👋🏽,تلويح يد بلون بشرة متوسط
👋🏾,تلويح يد بلون بشرة متوسط ​​داكن
👋🏿,يلوح بيده بلون البشرة الداكن
🤚,رفع ظهر اليد
🤚🏻,رفع ظهر اليد لون البشرة الفاتح
🤚🏼,رفع ظهر اليد لون بشرة متوسط ​​إلى فاتح
🤚🏽,رفع ظهر اليد متوسط ​​لون البشرة
🤚🏾,رفع ظهر اليد لون بشرة متوسط ​​الغامق
🤚🏿,رفع ظهر اليد لهجة البشرة الداكنة
🖐️,يد بأصابع مفلطحة
🖐,يد بأصابع مفلطحة
🖐🏻,اليد بأصابع مفلطحة لون البشرة الفاتح
🖐🏼,يد بأصابع مفلطحة لون بشرة متوسط ​​إلى فاتح
🖐🏽,يد بأصابع مفلطحة لون بشرة متوسط
🖐🏾,يد بأصابع مفلطحة لون بشرة متوسط ​​الغامق
🖐🏿,اليد بأصابع مفلطحة لون البشرة الداكنة
✋,رفع اليد
✋🏻,رفع اليد لهجة البشرة الفاتحة
✋🏼,يد مرفوعة بلون بشرة متوسط ​​فاتح
✋🏽,رفع اليد لون بشرة متوسط
✋🏾,رفع اليد لهجة البشرة المتوسطة الغامقة
✋🏿,رفع اليد لهجة البشرة الداكنة
🖖,تحية فولكان
🖖🏻,فولكان تحية لون البشرة الفاتح
🖖🏼,فولكان تحيه متوسط ​​لون البشرة الفاتح
🖖🏽,فولكان تحيه متوسط ​​لون البشرة
🖖🏾,فولكان تحية للون البشرة المتوسطة الداكنة
