text,class,cleaned_text
أَحْـــسَـــــنْ مَــــلِــــــك فِـــــي الـعَــــــالَـــــم,0,أحسن ملك في العالم
أعـشـقك عـنـدما أكـــــــــون أو لا أكـــــــــــــــــون ,0,أعشقك عندما أكون أو لا أكون
"""شكرا للجمهور و للكوموندو الطاوسي و اللاعبين على التأهل المعجزة للمغرب",0,شكرا لجمهور و لكوموندو الطاوسي و الاعبين على التأهل المعجزة لمغرب
أعـشــقك فــي كل مديـنة في كل مكان في الكـــون,0,أعشقك في كل مدينة في كل مكان في الكون
مليون جيم لأعز و أغلى الناس.,0,مليون جيم لأعز و أغلى الناس
"_,""أحسن فيديو في العالم عن المملكة المغربية الشريفة.",0,أحسن فيديو في العالم عن الملكة المغربية الشريفة
أحسن فيديو في العالم لأحسن مــلــك فــي الــعالــم.,0,أحسن فيديو في العالم لأحسن ملك في العالم
"مـــلــكــنا واحد محمد السادس"",أحــســن فيديو في العالم عن المغرب",0,ملكنا واحد محمد السادس أحسن فيديو في العالم عن المغرب
أتـــرك تـــهــنــئــتــك لـلأميرة الغالية.,0,أترك تهنئتك لأميرة الغالية
واحــلم بـــشـمـــس مـــضـــيــئــة فــي غد جــمــيـــــل,0,واحلم بشمس مضيئة في غد جميل
إذا السماء تفخر بوجود النجوم فيها .. فلابد للأرض أن تفخر بوجود محمد السادس عليها,0,إذا السماء تفخر بوجود النجوم فيها فلابد لأرض أن تفخر بوجود محمد السادس عليها
"عذرا """"فيثاغورث"""" : المملكة المغربية هي المعادلة الأصعب",0,عذرا فيثاغورث الملكة المغربية هي المعادلة الأصعب
"-عذرا """"نيوتن"""" : مـــــــــــراكــــش هـــي التـي تجـــذبـــنــا",0,عذرا نيوتن مراكش هي التي تجذبنا
"عذرا """"ديكارت"""" : أنا مـــــــــغــــــــــربـــــــــي إذاً أنا موجود",0,عذرا ديكارت أنا مغربي إذا أنا موجود
"عذراً """"دافنشي """": الفـتاة الـمـغـربـيـة أجـمـل من الموناليزا",0,عذرا دافنشي الفتاة المغربية أجمل من الموناليزا
"عذراً"""" أديسون"""" : الـــــــــمـــــــــغــــرب هــو مصباح العالم",0,عذرا أديسون المغرب هو مصباح العالم
"عذرا """"ايها الصباح"""" : الـــــــــــمـــــــغــــــــرب هو اشراقتي",0,عذرا ايها الصباح المغرب هو اشراقتي
"عذراً """"روما"""" : كــــل الـــــــــــطــــرق تؤدي إلى بـــــلـــدي",0,عذرا روما كل الطرق تؤدي إلى بلدي
"عذراً """"روميو"""" : الـمـــغــــرب هو حبيبي وسيبقى الى الابد-"",★ صور نادرة وخاصة هدية لجلالة الملك,photo,",0,عذرا روميو المغرب هو حبيبي وسيبقى الى الابد صور نادرة وخاصة هدية لجلالة الملك
"""هل تعلم :أن محمد السادس هو الملك و القائد الوحيد في العالم العربي الذي يتجول أحيانا بدون حراسة ؟",0,هل تعلم أن محمد السادس هو الملك و القائد الوحيد في العالم العربي الذي يتجول أحيانا بدون حراسة
هل تعلم :أن محمد السادس القائد والملك الوحيد في العالم الذي لا يحتاج الي مترجم في لقائاته الرسمية والغير رسمية ؟,0,هل تعلم أن محمد السادس القائد والملك الوحيد في العالم الذي لا يحتاج الي مترجم في لقائاته الرسمية والغير رسمية
هل تعلم :أن محمد السادس يتقن خمس لغات أجنبية نطقا وكتابة ؟,0,هل تعلم أن محمد السادس يتقن خمس لغات أجنبية نطقا وكتابة
هل تعلم :أن ملكنا صاحب أقوى اصلاحات في العالم العربي بشهادة الغرب والشرق؟,0,هل تعلم أن ملكنا صاحب أقوى اصلاحات في العالم العربي بشهادة الغرب والشرق
هل تعلم :أن محمد السادس هو الأجمل من بين كل الملوك و القادة في العالم؟,0,هل تعلم أن محمد السادس هو الأجمل من بين كل الملوك و القادة في العالم
هل تعلم :أن الملك محمد السادس أحب الملوك والرؤساء الى شعبه ؟,0,هل تعلم أن الملك محمد السادس أحب الملوك والرؤساء الى شعبه
هل تعلم :أن الملك محمد السادس سرق قلوب كل المغاربة ؟,0,هل تعلم أن الملك محمد السادس سرق قلوب كل المغاربة
نعم أنا مغربي حر في بلد حر وملكي محمد السادس نصره لله.,0,نعم أنا مغربي حر في بلد حر وملكي محمد السادس نصره له
"فيان البحري: """"مسيرة مسيرة"""" أغنية وطنية رائعة احتفالا بالذكرى الـ  للمسيرة الخضراء",0,فيان البحري مسيرة مسيرة أغنية وطنية رائعة احتفالا بالذكرى ال لمسيرة الخضراء
"راسلتكم عدة مرات دون جواب ، شكر مسبق على حسن اهتمامكم .رمضان كريم""",0,راسلتكم عدة مرات دون جواب شكر مسبق على حسن اهتمامكم رمضان كريم
"عواشر مبروكة لجميع المسلمين.""",0,عواشر مبروكة لجميع المسلمين
أطال الله في عمرك إن شاء الله ولاية ثانية,0,أطال اله في عمرك إن شاء اله ولاية ثانية
"تحية نضالية لإعضاء العدالة و التنمية""",0,تحية نضالية لإعضاء العدالة و التنمية
إنما هي عزيمة وارادة ,0,إنما هي عزيمة وارادة
"وفقكم الله لما فيه مصلحة البلاد والعباد""",0,وفقكم اله لما فيه مصلحة البلاد والعباد
و تقبلوا السيد الرئيس تحياتي الخالصة.,0,و تقبلوا السيد الرئيس تحياتي الخالصة
الحرية_لمعتقلي_الثلاثاء_الأسود,0,الحرية لمعتقلي الثلاثاء الأسود
أجبه بالأدب ...إن الله معي شكرا ,0,أجبه بالأدب إن اله معي شكرا
وأشكر هذه الحكومة على انفتاحها اكثر على السوق الآسيوية ,0,وأشكر هذه الحكومة على انفتاحها اكثر على السوق الآسيوية
"تقبل الله منكم""",0,تقبل اله منكم
موت موت يالعدو و الملك عندو شعبو,0,موت موت يالعدو و الملك عندو شعبو
 عاش الملك,0,عاش الملك
"""أنا حر و باغي نوقف هنا و نقول عاش الملك محمد السادس.",0,أنا حر و باغي نوقف هنا و نقول عاش الملك محمد السادس
واش كاين ما احسن من المغرب ؟؟؟؟ هههههههههههههه,0,واش كاين ما احسن من المغرب ه
أقــسـم بـالله العـلي العـظيـم أن أبـقـى وفـيا لـمـلـكـي ولــوطــنـي•,0,أقسم باله العلي العظيم أن أبقى وفيا لملكي ولوطني
مـــهمـا كانت الظروف والله سـبحانـه رقيـب علـى صــــدق نــــيـتـي•,0,مهما كانت الظروف واله سبحانه رقيب على صدق نيتي
"""إذا أحــبك  مليــون فأنـــا معــهم.. ♥",0,إذا أحبك مليون فأنا معهم بدلة القلب
وإذا أحـــبـــك واحـــد فـــهــو أنـــــا .. ♥,0,وإذا أحبك واحد فهو أنا بدلة القلب
وإذا لم يحبك أحد فاعلم أنني مـت .. ♥,0,وإذا لم يحبك أحد فاعلم أني مت بدلة القلب
لأنـــنــــا كبـــــرنا فيها ... لــــن ننــكــر خــيرها,0,لأنا كبرنا فيها لن نكر خيرها
لأنـنا نــعيش فوق ترابها ... سنـــــحترم قائدها,0,لأنا نعيش فوق ترابها سنحترم قائدها
لأنــنــــا مـغاربة أحـــرار .. ســـنرفض تخـــريبها,0,لأنا مغاربة أحرار سنرفض تخريبها
هـي بلدنا .. ليس لنا غيرها .. ولـيس لها غيرنا,0,هي بلدنا ليس لنا غيرها وليس لها غيرنا
ما الحـــب إلا لـوطــني و ما الــوفاء إلا لملـــكــي,0,ما الحب إلا لوطني و ما الوفاء إلا لملكي
"_,""بيعة محمد السادس ♥ ",0,بيعة محمد السادس بدلة القلب
"عاااااااااااااااااااااااااااااااش الملك"",بيعة محمد السادس ",0,عاش الملك بيعة محمد السادس
 الشعارات التي ترددت  في المسيرة: ,0,الشعارات التي تردت في المسيرة
اسمع صوت الشعب : الشعب يقول نعم للدستور,0,اسمع صوت الشعب الشعب يقول نعم لدستور
يا مغربي يا مغربي يا مغربية هدا الدستور مزية ليك و ليا,0,يا مغربي يا مغربي يا مغربية هدا الدستور مزية ليك و ليا
هذا عهد مجيد بدستور جديد,0,هذا عهد مجيد بدستور جديد
العملاء برا برا و المغرب أرضي حرة,0,العملاء برا برا و المغرب أرضي حرة
بالروح بالدم نفديك يا ملك,0,بالروح بالدم نفديك يا ملك
الشعب يريد إسقاط الخونة,0,الشعب يريد إسقاط الخونة
"لبـيك مــغربي المسلم, فحماك لا يباع ♦ مــهما حاولـو سنفديك دائــــما بالأرواح",0,لبيك مغربي المسلم فحماك لا يباع بدلة الماس مهما حاولو سنفديك دائما بالأرواح
أقول لهم موتو بغيظكم أيها المفسدون ♦ فالمغرب بلد الشرفاء و ليس الملحدون,0,أقول لهم موتو بغيظكم أيها المفسدون بدلة الماس فالمغرب بلد الشرفاء و ليس الملحدون
"قالو عني مخزني, بوليسي و بلطجي ♦ فكـفاني فخرا أن أحمي ديني و وطني",0,قالو عني مخزني بوليسي و بلطجي بدلة الماس فكفاني فخرا أن أحمي ديني و وطني
"_,""أقــسـم بـالله العـلي العـظيـم أن أبـقـى وفـيا لـمـلـكـي ولــوطــنـي•",0,أقسم باله العلي العظيم أن أبقى وفيا لملكي ولوطني
"_,""مبرووووووووووك و ألف مبرووووووووووووك ",0,مبروك و ألف مبروك
لقد تجاوزنا . محب لصفحة جلالته على الفايسبوك,0,لقد تجاوزنا محب لصفحة جلالته على الفايسبوك
شكرا لكل من ساهم في نشر الصفحة,0,شكرا لكل من ساهم في نشر الصفحة
مغاااااااربة و نفتخر و إنشاء الله نصل,0,مغاربة و نفتخر و إنشاء اله نصل
"""جهد مشكور سيدي الرئيس ",0,جهد مشكور سيدي الرئيس
"_,""سفيان البحري: أحسن كوبل ملكي في العالم ❤️ الملك محمد السادس والأميرة للا سلمى اليوم السبت في باريس 💜 ",0,سفيان البحري أحسن كوبل ملكي في العالم قلب أحمر الملك محمد السادس والأميرة لا سلمى اليوم السبت في باريس قلب بنفسجي
صراحة من أعظم النعم التي جاد بها الله على المغرب: الملك محمد السادس نصره الله 👐,0,صراحة من أعظم النعم التي جاد بها اله على المغرب الملك محمد السادس نصره اله أيادي مفتوحة
شخصية رائعة رجل مناسب في مكان مناسب ياريت إكون الطاقم ديال الحكومة بحالو,0,شخصية رائعة رجل مناسب في مكان مناسب ياريت إكون الطاقم ديال الحكومة بحالو
بفضلكم يستطيع المغربي أن يرفع رأسه في العالم العربي و يقول أنه مغربي ..,0,بفضلكم يستطيع المغربي أن يرفع رأسه في العالم العربي و يقول أنه مغربي
"""أعانك الله لما فيه خير للأمة ",0,أعانك اله لما فيه خير لأمة
"الله يعز السيد الوفا و السيد بنكيران ويحرم ليهم الواليدين و ينصرهم على أولاد الحرام""",0,اله يعز السيد الوفا و السيد بنكيران ويحرم ليهم الواليدين و ينصرهم على أولاد الحرام
نظافة يدكم يشهد به الخصوم قبل الأصدقاء.,0,نظافة يدكم يشهد به الخصوم قبل الأصدقاء
"""هذا هو كلام المعقول ",0,هذا هو كلام المعقول
والله تم والله تم والله اشرف من دافع عن الشعب وربما اكتر من عبد الرحمن اليوسفي تأملوا في المغرب كيف كانت الحقبة قبل ان يمسكها بن كيران كنا والوا لكن الرجل خدم البلاد وقدم الكتير لم ولن نرى رجلا مثله في البلاد والأيام بيننا يا من لم تنصروه وانتم اقلية,0,واله تم واله تم واله اشرف من دافع عن الشعب وربما اكتر من عبد الرحمن اليوسفي تأملوا في المغرب كيف كانت الحقبة قبل ان يمسكها بن كيران كنا والوا لكن الرجل خدم البلاد وقدم الكتير لم ولن نرى رجلا مثله في البلاد والأيام بينا يا من لم تنصروه وانتم اقلية
بعد خسارة رئاسة الحكومة و خسارة الامانة العامة للحزب، نعلن رسميا نهاية مرحلة بن كيران السيئة,0,بعد خسارة رئاسة الحكومة و خسارة الامانة العامة لحزب نعلن رسميا نهاية مرحلة بن كيران السيئة
الله يرحم اللي زار و خفف,0,اله يرحم الي زار و خف
تحية احترام للسياسي و المناضل و من يقول الحق و لو كان مرا..تحية خالصة لرجل السياسة بامتياز السيد عبد الاله بنكيران المغربي البسيط في تعبيراته و حتى في مقابلاته الشيء الذي لا يروق لاصحاب البريستيج و البروتوكولات الخاوية و اصحاب البطون الممتلئة بأموال الشعب..ليس المهم ان تبقى أمينا عاما لحزب تغيرت جل معالمه التي كانت في عهدك و عهد من سبقوك..الاهم انك أخيرا سترتاح من تواجدك بمكان لن تكون فيه الكلمة لك و لن تؤخد فيه قرارتك بعين الاعتبار,0,تحية احترام لسياسي و المناضل و من يقول الحق و لو كان مرا تحية خالصة لرجل السياسة بامتياز السيد عبد الاله بنكيران المغربي البسيط في تعبيراته و حتى في مقابلاته الشيء الذي لا يروق لاصحاب البريستيج و البروتوكولات الخاوية و اصحاب البطون المتلئة بأموال الشعب ليس المهم ان تبقى أمينا عاما لحزب تغيرت جل معالمه التي كانت في عهدك و عهد من سبقوك الاهم انك أخيرا سترتاح من تواجدك بمكان لن تكون فيه الكلمة لك و لن تؤخد فيه قرارتك بعين الاعتبار
لقد أخطأ وزراء حزب العدالة والتنمية في تآمرهم على بنكيران وسيفقدون كلهم دون إستتناء مناصبهم التي أوصلهم اليها هذا الزعيم الحقيقي ولن تتاح لأي منهم الفرصة لإسترجاع هذه المناصب. التاريخ يثبت لنا انه لا يمكن لأي أن يصبح زعيما.,0,لقد أخطأ وزراء حزب العدالة والتنمية في تآمرهم على بنكيران وسيفقدون كلهم دون إستناء مناصبهم التي أوصلهم اليها هذا الزعيم الحقيقي ولن تاح لأي منهم الفرصة لإسترجاع هذه المناصب التاريخ يثبت لنا انه لا يمكن لأي أن يصبح زعيما
اودي اسكتوا انه سينبعث من رماده و سترون انه بن كيران وما ادراك ما بن كيران,0,اودي اسكتوا انه سينبعث من رماده و سترون انه بن كيران وما ادراك ما بن كيران
كلما في الامر هو ان بن كيران رجل صالح وادى الامانة عل احسن ما يرام بن كيران ه اول رئيس حكومة عبر التاريخ المغربي منذ ان استقلينا عرف معه الشعب المغربي العدل والديمقراطية وهذه السياسة التي نهجها بن كيران تضر بعض المسؤولين الكبار في المغرب اللين يخافون المحاسبة لهذا شتتوا شمل العدالة والتنمية وتركوا هذا الحزب ليكون اعضائه هم الاخرون مثل الاحزاب الاخرى التي حكمت المغرب اكثر من ستون سنة وهم ينهبون ويهربون في اموال المغاربة ويريدون ان يكون العدالة والتنمية مبلغا للمخابرات المغربية مثل ما يقوم ب الاحزاب الاخرى,0,كلما في الامر هو ان بن كيران رجل صالح وادى الامانة عل احسن ما يرام بن كيران ه اول رئيس حكومة عبر التاريخ المغربي منذ ان استقلينا عرف معه الشعب المغربي العدل والديمقراطية وهذه السياسة التي نهجها بن كيران تضر بعض المسؤولين الكبار في المغرب الين يخافون المحاسبة لهذا شتوا شمل العدالة والتنمية وتركوا هذا الحزب ليكون اعضائه هم الاخرون مثل الاحزاب الاخرى التي حكمت المغرب اكثر من ستون سنة وهم ينهبون ويهربون في اموال المغاربة ويريدون ان يكون العدالة والتنمية مبلغا لمخابرات المغربية مثل ما يقوم ب الاحزاب الاخرى
المسيرة النضالية للاستاد بنكيران مستمرة,0,المسيرة النضالية لاستاد بنكيران مستمرة
وحزب العدالة والتنمية حزب المؤسسات حزب ديمقراطي ونحن نفتخر به,0,وحزب العدالة والتنمية حزب المؤسات حزب ديمقراطي ونحن نفتخر به
والحاج عبد الإله سيبقى مناضلا متميزا في الحقل السياسي المغربي.,0,والحاج عبد الإله سيبقى مناضلا متميزا في الحقل السياسي المغربي
حزب النذالة والتعمية مصيره هو مزلة التاريخ.,0,حزب النذالة والتعمية مصيره هو مزلة التاريخ
ابن كيران نزل وامطار الخير ستنزل عيد واي عيد!هنبئا للمغاربة وشكرا لحزب العدالة والتنمية كنتم رائعين,0,ابن كيران نزل وامطار الخير ستنزل عيد واي عيد هنبئا لمغاربة وشكرا لحزب العدالة والتنمية كنتم رائعين
"تحية لكم ولحزبكم. والسلام عليكم""",0,تحية لكم ولحزبكم والسلام عليكم
أولا وقبل كل شيء أحبكم في الله وأدعوا لكم ولملكنا وكافة الشعب المغربي بكل الخير كلما دعوت لنفسي و أهلي ,0,أولا وقبل كل شيء أحبكم في اله وأدعوا لكم ولملكنا وكافة الشعب المغربي بكل الخير كلما دعوت لنفسي و أهلي
شكرًا للكاتب,0,شكرا لكاتب
و شكرًا,0,و شكرا
انصحك ان تشم رائحتهم الزكية,0,انصحك ان تشم رائحتهم الزكية
لولا هذا الرجل الشريف ما كان لحزب العدالة مكان في الحقل السياسي ولا حصل على الفوز في الانتخابات لولايتين .,0,لولا هذا الرجل الشريف ما كان لحزب العدالة مكان في الحقل السياسي ولا حصل على الفوز في الانتخابات لولايتين
كيفاش درتي ليها تبا على بلاد,0,كيفاش درتي ليها تبا على بلاد
"لشكر بالصحة و الراحة تستحق وسام مخزني بجدارة و استحقاق""",0,لشكر بالصحة و الراحة تستحق وسام مخزني بجدارة و استحقاق
السلام عليكم  سيدي رئس حكومة نعم الرجل النيزه  الدي صدق  وعد  كل مناهج في صندوق الدعم التماسك الاجتماعي كلها جيد في خلال عرقلة نصار لشئم لصناديق التقاعد متمثلين في نقابات  لكن هيهات أنا جد متفائلة من فوزك على حكومة سوف أضل أدعمك حتى النهاية واصل ليهمك شيء الشعب يحبك جدا ياعميد مرجعيات الدينية في المعرب  ياوجه الخير على الشعب المعربي,0,السلام عليكم سيدي رئس حكومة نعم الرجل النيزه الدي صدق وعد كل مناهج في صندوق الدعم التماسك الاجتماعي كلها جيد في خلال عرقلة نصار لشئم لصناديق التقاعد متمثلين في نقابات لكن هيهات أنا جد متفائلة من فوزك على حكومة سوف أضل أدعمك حتى النهاية واصل ليهمك شيء الشعب يحبك جدا ياعميد مرجعيات الدينية في المعرب ياوجه الخير على الشعب المعربي
"""اخخخخخ اسي بنكيران الله يكون فعوانك منصب رئيس الحكومة ليس بالسهل ",0,اخ اسي بنكيران اله يكون فعوانك منصب رئيس الحكومة ليس بالسهل
وهناك من يقول لا مدارو والو بغيتهوم اجيبو ليا بحال رجال العدالة والتنمية,0,وهناك من يقول لا مدارو والو بغيتهوم اجيبو ليا بحال رجال العدالة والتنمية
الله يكون فعوانكم وانا كندعي معكم ليل نهار ورمضان مبارك عليكم,0,اله يكون فعوانكم وانا كندعي معكم ليل نهار ورمضان مبارك عليكم
وبالتوفيق للولاية الثانية إن شاء الله تعالى,0,وبالتوفيق لولاية الثانية إن شاء اله تعالى
موقع وليلي ، مجموعة أثرية رائعة بالمغرب,0,موقع وليلي مجموعة أثرية رائعة بالمغرب
الله الله الله واكبر على الخيير بلادناا,0,اله اله اله واكبر على الخير بلادنا
الحسيمة جوهرة المتوسط وأجمل مدن شمال إفريقيا,0,الحسيمة جوهرة المتوسط وأجمل مدن شمال إفريقيا
الثنائي كريم الأحمدي وسفيان أمرابط يتألق ويساهم في الفوز والتأهل أمام ويليم في كأس هولند,0,الثنائي كريم الأحمدي وسفيان أمرابط يتألق ويساهم في الفوز والتأهل أمام ويليم في كأس هولند
المغرب زوين,0,المغرب زوين
بالصحة فطوركم،,0,بالصحة فطوركم
نناشد سيادتكم مجددا للتدخل لدى السيد وزير التعليم العالي من أجل صرف المنحة المجمدة لطلبة الماستر حاملي إجازات...فالله شاهد علينا أننا في حاجة ماسة لها فبدونها نجد صعوبة في إستكمال الدراسة... وشكرا مسبقا.,0,ناشد سيادتكم مجدا لتدخل لدى السيد وزير التعليم العالي من أجل صرف المنحة المجمدة لطلبة الماستر حاملي إجازات فاله شاهد علينا أنا في حاجة ماسة لها فبدونها نجد صعوبة في إستكمال الدراسة وشكرا مسبقا
"جزاكم الله خيرا ساعدونا بتبلبغ طلبنا إلى رئيس الحكومة.""",0,جزاكم اله خيرا ساعدونا بتبلبغ طلبنا إلى رئيس الحكومة
"""كتحلموا اغلبية الشعب سيصوت على هدا الرجل ",0,كتحلموا اغلبية الشعب سيصوت على هدا الرجل
اشهد بربي ان هدا الرجل الوحيد اللدي يستحق رئاسة الحكومة واشهد بربي ان نيته صافية ورجل متواضع بنكيران ولد الشعب والولاية التانية ان شاء الله تعالى,0,اشهد بربي ان هدا الرجل الوحيد الدي يستحق رئاسة الحكومة واشهد بربي ان نيته صافية ورجل متواضع بنكيران ولد الشعب والولاية التانية ان شاء اله تعالى
واكيد ان شعبنا لن يسمح لرجل مثله بالتنحي عن رئاسة الحكومة,0,واكيد ان شعبنا لن يسمح لرجل مثله بالتنحي عن رئاسة الحكومة
وانا كنفتخر وبزاف ان هناك حزب اسمه العدالة والتنمية,0,وانا كنفتخر وبزاف ان هناك حزب اسمه العدالة والتنمية
وكنفتخر ان هناك رئيس حكومة اسمه عبد الاله بنكيران,0,وكنفتخر ان هناك رئيس حكومة اسمه عبد الاله بنكيران
وكنفتخر بكل رجال ونساء العدالة والتنمية,0,وكنفتخر بكل رجال ونساء العدالة والتنمية
وديما العدالة والتنمية,0,وديما العدالة والتنمية
الله يحفظها من الزلزال زينة تبارك ألله,0,اله يحفظها من الزلزال زينة تبارك أله
"هكـذا تبـدو مـدينـة "" إفـران المغربيـة "" فـي فـصـل الشتاء والتـي تصنـف ضمـن أجمـل المـدن العـالميـة من حيـث المساحـة الخضـراء ونظـافتهـا",0,هكذا تبدو مدينة إفران المغربية في فصل الشتاء والتي تصنف ضمن أجمل المدن العالمية من حيث المساحة الخضراء ونظافتها
تحياتي لشعب المصري,0,تحياتي لشعب المصري
لقاء ممتع فيه كل شيء.صراحة,0,لقاء متع فيه كل شيء صراحة
كتحمقني هاد لمدينة,0,كتحمقني هاد لمدينة
واو واو كتحمق صافي بشحال ثمن اوتيلات فيها عفاك اشوف تيفي,0,واو واو كتحمق صافي بشحال ثمن اوتيلات فيها عفاك اشوف تيفي
"وديما العدالة والتنمية""",0,وديما العدالة والتنمية
شفشاون المدينة الزرقاء التي لفتت أنظار العالم ببساطتها وجمالها الساحر,0,شفشاون المدينة الزرقاء التي لفت أنظار العالم بساطتها وجمالها الساحر
الله يعينك على اعدائك يا رب ... فوزك هو فوز الوطن...ان شاء الله فائزون باذن الله...,0,اله يعينك على اعدائك يا رب فوزك هو فوز الوطن ان شاء اله فائزون باذن اله
"""حفظك الله يا سيدي رئيس الحكومة ..",0,حفظك اله يا سيدي رئيس الحكومة
أنت فعلا فخر لكل مغربي ,0,أنت فعلا فخر لكل مغربي
أصدق سياسي مغربي مر على الحكومات المتعاقبة ..,0,أصدق سياسي مغربي مر على الحكومات المتعاقبة
أنا مع بنكيران و سأصوت عليه لي بحالي ادير جيم,0,أنا مع بنكيران و سأصوت عليه لي بحالي ادير جيم
الله يعونك على المفسدين,0,اله يعونك على المفسدين
"""السلام عليكم السيد  الوزير ، الاخ  عبد الالاه ابن كيران , ذكرى مولد مبارك كريم ، و سنه مليئة بالانجازات",0,السلام عليكم السيد الوزير الاخ عبد الالاه ابن كيران ذكرى مولد مبارك كريم و سنه مليئة بالانجازات
مبرووووووووووك سي عبد اﻻله👍 👍تحياتي ولد هوارة,0,مبروك سي عبد ا له متاز متاز تحياتي ولد هوارة
بالتوفيق نتمنى ان تصلحوا ما افسده المفسدون  نحن معكم,0,بالتوفيق نتمنى ان تصلحوا ما افسده المفسدون نحن معكم
وفقكم الله لما فيه خير البلاد والعباد ، وجعل لكم على الحق اعوانا,0,وفقكم اله لما فيه خير البلاد والعباد وجعل لكم على الحق اعوانا
"""هنيأ. أحببتك في الله",0,هنيأ أحبتك في اله
يعجبني فيك صدقك وإخلاصك...كنت حكيما في قراراتك وفي البرنامج.,0,يعجبني فيك صدقك وإخلاصك كنت حكيما في قراراتك وفي البرنامج
"أشكرك على صدقك و تفانيك وأسأل الله أن ينجيك من كل سوء وأن يجعل لك طريق لنجاح. إنه سميع الدعاء.""",0,أشكرك على صدقك و تفانيك وأسأل اله أن ينجيك من كل سوء وأن يجعل لك طريق لنجاح إنه سميع الدعاء
نحن شباب مغاربة في الغربة متعاطفين مع حزب العدالة و التنمية كلنا أمام التلفاز ننتضر بشوق هدا اللقاء التلفزيوني وفقك الله دولة الرئيس,0,نحن شباب مغاربة في الغربة متعاطفين مع حزب العدالة و التنمية كلنا أمام التلفاز نتضر بشوق هدا القاء التلفزيوني وفقك اله دولة الرئيس
فصل آخر من فصول المتعة السياسية مع رجل الصدق والوفاء مع رجل المواقف والانجازات سنكون في تلموعد وفقك الله,0,فصل آخر من فصول المتعة السياسية مع رجل الصدق والوفاء مع رجل المواقف والانجازات سنكون في تلموعد وفقك اله
أنا شخصيا أشكركم على كل ما قدمتم من إنجازات وصوتي دائما لحزبكم حزب العدالة وتنمية,0,أنا شخصيا أشكركم على كل ما قدمتم من إنجازات وصوتي دائما لحزبكم حزب العدالة وتنمية
استاذ عفى الله عمى سلف من خصوص الشعب وليس رئيس الحكورة يجب ان تطلب من الامة هل ستسامح ام لا يا ناقص اين الدين اين عدل عمر اين حزب العدالة اي عدالة. اما هذه الارملة اذا سمحت باجرتك لشهر واحد عاشت بها سنة,0,استاذ عفى اله عمى سلف من خصوص الشعب وليس رئيس الحكورة يجب ان تطلب من الامة هل ستسامح ام لا يا ناقص اين الدين اين عدل عمر اين حزب العدالة اي عدالة اما هذه الارملة اذا سمحت باجرتك لشهر واحد عاشت بها سنة
